amount,oldbalanceOrg,newbalanceOrig,is_transfer
345356.78,0.0,0.0,1
208978.89,546705.0,337726.11,0
529257.18,587625.0,58367.82,0
1366237.55,281144.0,0.0,1
5067395.55,0.0,0.0,1
93459.27,0.0,0.0,0
507495.37,0.0,0.0,1
170750.56,22425.0,0.0,0
21552.39,0.0,0.0,0
1432320.12,58774.0,0.0,1
56456.84,23243.0,0.0,0
361688.4,925.0,0.0,0
186090.69,350679.0,164588.31,0
399012.51,6094.0,0.0,1
75979.26,205860.0,129880.74,0
3160.16,104729.0,101568.84,0
121922.07,12306.0,0.0,0
348486.18,10226.0,0.0,0
238108.15,353.0,0.0,0
187085.62,0.0,0.0,0
507072.56,0.0,0.0,0
140489.77,61530.0,0.0,0
77693.98,0.0,0.0,0
531267.3,29878.0,0.0,0
137637.19,268328.0,130690.81,0
73284.01,0.0,0.0,1
269015.77,0.0,0.0,0
247121.96,50935.0,0.0,0
4450.24,11426.0,6975.76,0
115195.63,52011.0,0.0,0
116432.03,641.0,0.0,0
30018.48,7269.0,0.0,0
31891.82,119.0,0.0,0
59722.32,50152.0,0.0,0
71881.72,0.0,0.0,0
330714.52,198572.0,0.0,0
11479.68,0.0,0.0,0
312702.01,0.0,0.0,1
42082.89,0.0,0.0,0
196307.63,344.0,0.0,0
119232.06,105049.0,0.0,0
624107.15,0.0,0.0,0
7945.24,20553.0,12607.76,0
100744.47,28693.0,0.0,1
2682.92,180.0,0.0,0
95104.43,23066.0,0.0,0
58751.12,497.0,0.0,0
146174.5,289635.93,143461.43,1
1909825.5,61723.0,0.0,1
38085.6,60218.0,22132.4,0
42616.57,0.0,0.0,0
10663.65,4059.0,0.0,0
385411.68,69611.0,0.0,1
55597.96,50967.0,0.0,0
629354.64,10274.0,0.0,1
195653.3,0.0,0.0,0
195636.52,0.0,0.0,0
269575.3,0.0,0.0,0
233295.56,0.0,0.0,0
201767.29,0.0,0.0,0
11456.85,159.0,0.0,0
228739.89,677.0,0.0,0
871419.05,84512.0,0.0,1
78261.73,410.0,0.0,0
412418.86,0.0,0.0,1
473.71,0.0,0.0,0
477181.12,22058.0,0.0,0
339865.47,338552.52,0.0,0
27688.58,0.0,0.0,0
374839.61,1020.0,0.0,0
203358.71,0.0,0.0,0
115754.88,19511.0,0.0,0
394800.25,0.0,0.0,0
158601.98,0.0,0.0,0
367193.32,63432.55,0.0,1
